Conversation,Label
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is the fraud department. We need to confirm a recent transaction on your account.,Fraud
Your subscription will expire soon. Renew now to avoid interruption.,Fraud
This is the loan office. Your application needs additional details.,Fraud
You have an outstanding balance on your utilities. Pay now to avoid disconnection.,Fraud
This is the fraud team. We’ve detected unusual activity on your credit card.,Fraud
Your account will be locked unless you verify your identity immediately.,Fraud
This is the tax office. Your refund needs verification.,Fraud
You have an unpaid fine. Pay now to avoid additional charges.,Fraud
This is the bank’s security department. Did you authorize a recent transfer?,Fraud
Your subscription renewal failed. Please update your payment information.,Fraud
This is the IT support team. Your email account has been compromised.,Fraud
You’ve been selected for a special discount. Confirm your details to avail it.,Fraud
This is the fraud alert service. We need to verify your recent activity.,Fraud
Your account needs verification to prevent it from being locked.,Fraud
This is a call from the insurance company. Your policy needs to be updated.,Fraud
You have an overdue balance. Pay now to avoid service interruption.,Fraud
This is your bank calling to confirm a recent deposit.,Fraud
We are calling from the hospital to remind you of your appointment tomorrow.,Normal
"This is your doctor’s office, we need to discuss your test results.",Normal
Your prescription is ready for pickup at the pharmacy.,Normal
"This is your insurance company, we need to verify some information about your claim.",Normal
We’re calling from your child’s school about an upcoming parent-teacher meeting.,Normal
"This is your internet service provider, there is a planned maintenance affecting your area.",Normal
Your cable service is scheduled for installation tomorrow.,Normal
This is the airline calling to inform you about a change in your flight schedule.,Normal
We are calling from the bank to notify you of an upcoming service outage.,Normal
"This is your employer’s HR department, we need to discuss your benefits package.",Normal
Your car is ready for pickup at the service center.,Normal
We’re calling from the electricity company about a planned power outage in your area.,Normal
"This is the water company, your service will be interrupted for maintenance.",Normal
"We are calling from the university, you have an overdue library book.",Normal
Your dentist appointment is scheduled for next week.,Normal
"This is your gym, we need to update your membership details.",Normal
We’re calling from the veterinary clinic about your pet’s upcoming appointment.,Normal
"This is your credit card company, there is a new benefit available to you.",Normal
Your phone bill is due in five days.,Normal
"This is your bank, there are new terms and conditions for your account.",Normal
"We’re calling from the real estate agency, we need to confirm your viewing appointment.",Normal
"This is your mobile provider, your plan is eligible for an upgrade.",Normal
Your child’s school bus schedule has changed.,Normal
"This is your financial advisor, we need to review your portfolio.",Normal
"We’re calling from the health insurance company, you have a premium due.",Normal
"This is your utility company, we need to schedule a meter reading.",Normal
Your job application status has been updated.,Normal
"This is the tax office, we need additional information to process your return.",Normal
We’re calling from the bank to verify a change in your account details.,Normal
"This is the security company, your alarm system needs maintenance.",Normal
Your subscription is set to renew next month.,Normal
"This is your student loan servicer, your payment is due soon.",Normal
"We’re calling from the local council, your property tax is due.",Normal
"This is your mortgage lender, we need to discuss your account.",Normal
Your car insurance policy is due for renewal.,Normal
"This is your broadband provider, there are new plans available for you.",Normal
We’re calling from the postal service about a package delivery.,Normal
"This is the travel agency, we need to confirm your booking details.",Normal
Your annual physical exam is scheduled for next week.,Normal
"This is your health club, we’re offering a free class this weekend.",Normal
"We’re calling from the public library, your reserved book is now available.",Normal
"This is your optometrist, it’s time for your eye exam.",Normal
Your child’s extracurricular activity schedule has changed.,Normal
"This is the car dealership, your vehicle is due for a service.",Normal
"We’re calling from the charity you support, to thank you for your donation.",Normal
"This is your bank, there’s a new feature available in your online account.",Normal
Your heating service needs to be scheduled for maintenance.,Normal
"This is your life insurance provider, we need to update your beneficiary details.",Normal
"We’re calling from the university alumni association, about an upcoming event.",Normal
"This is your newspaper delivery service, your subscription is expiring.",Normal
Your student loan application has been approved.,Normal
"This is the bank, there’s a new security feature on your account.",Normal
"We’re calling from the magazine subscription service, your renewal is coming up.",Normal
"This is your investment firm, we need to discuss your account.",Normal
Your broadband service will be upgraded next week.,Normal
"This is your pension provider, there’s an update to your plan.",Normal
"We’re calling from the theater, your tickets are ready for collection.",Normal
"This is the sports club, your membership needs renewal.",Normal
Your dental insurance claim has been processed.,Normal
"This is the bank, there’s a promotion available for your credit card.",Normal
"We’re calling from the auto club, your roadside assistance plan needs renewal.",Normal
"This is your mobile provider, we need to verify your account information.",Normal
Your electricity bill is due in five days.,Normal
"This is your health insurance, there’s a new wellness program available.",Normal
"We’re calling from the hotel, to confirm your reservation details.",Normal
"This is your university, you have an outstanding tuition fee balance.",Normal
Your magazine subscription is set to renew next month.,Normal
"This is your airline, there’s a new policy affecting your upcoming flight.",Normal
"We’re calling from the bank, your loan application has been approved.",Normal
"This is the cable company, we need to update your service plan.",Normal
Your gym membership renewal is coming up.,Normal
"This is your utility company, there’s an update to your service agreement.",Normal
"We’re calling from the insurance company, there’s a new policy available for you.",Normal
"This is your internet provider, we need to confirm your account details.",Normal
Your pharmacy has a new prescription ready for pickup.,Normal
"This is the bank, we need to verify a recent transaction on your account.",Normal
"We’re calling from the hospital, your test results are ready.",Normal
"This is your dentist, it’s time for your annual cleaning.",Normal
Your financial advisor needs to review your investment plan.,Normal
"This is your electricity provider, there’s a scheduled outage in your area.",Normal
"We’re calling from the credit union, there’s a new loan product available.",Normal
"This is your insurance company, we need to confirm some details about your policy.",Normal
Your child’s school is calling about an upcoming event.,Normal
"This is your water company, we need to update your account information.",Normal
"We’re calling from the mortgage lender, there’s a change to your interest rate.",Normal
"This is the bank, we need to verify your identity for a new service.",Normal
Your gym is offering a new fitness class.,Normal
"This is your phone company, there’s a new data plan available.",Normal
"We’re calling from the loan department, your application is under review.",Normal
"This is your cable provider, we need to schedule an equipment upgrade.",Normal
Your subscription service is offering a new discount.,Normal
"This is your child’s daycare, we need to update your contact information.",Normal
"We’re calling from the tax office, your return has been processed.",Normal
"This is your health provider, we need to confirm your upcoming appointment.",Normal
Your bank has a new savings account option for you.,Normal
"This is your insurance company, there’s a change to your policy terms.",Normal
"We’re calling from the employment office, there’s an update to your application.",Normal
"This is your utility provider, there’s a new payment option available.",Normal
Your car dealership is offering a new service package.,Normal
"This is your internet service provider, there’s a planned outage in your area.",Normal
"We’re calling from the hospital, your appointment needs to be rescheduled.",Normal
"This is your doctor’s office, we need to confirm your insurance details.",Normal
Your bank is offering a new credit card promotion.,Normal
"This is your gym, we need to update your billing information.",Normal
"We’re calling from the pharmacy, your prescription has been filled.",Normal
"This is your cable provider, there’s a new channel package available.",Normal
Your child’s school is calling about a new after-school program.,Normal
"This is your utility company, there’s a scheduled maintenance affecting your area.",Normal
"We’re calling from the credit union, we need to verify your account details.",Normal
"This is your health insurance, there’s a new benefit available to you.",Normal
Your internet provider is offering a new service plan.,Normal
"This is your bank, there’s an update to your account terms.",Normal
"We’re calling from the insurance company, your policy needs renewal.",Normal
"This is your water company, there’s a planned service interruption.",Normal
Your university is calling about a new program.,Normal
"This is your mortgage lender, we need to confirm your payment details.",Normal
"We’re calling from the hospital, your lab results are in.",Normal
"This is your doctor’s office, your prescription needs renewal.",Normal
Your bank is offering a new savings account promotion.,Normal
"This is your gym, we need to confirm your membership details.",Normal
"We’re calling from the cable company, your bill is overdue.",Normal
"This is your child’s school, we need to update your emergency contact information.",Normal
Your electricity provider has a new energy-saving program.,Normal
"This is your water company, your bill is due soon.",Normal
"We’re calling from the internet provider, there’s a new service option available.",Normal
"This is your bank, we need to verify a recent change to your account.",Normal
Your gym is offering a new membership deal.,Normal
"This is your health insurance company, we need to discuss your claim.",Normal
"We’re calling from the loan office, your application has been approved.",Normal
"This is your utility company, there’s a new billing option available.",Normal
Your credit card company is offering a new reward program.,Normal
"This is your bank, we need to update your contact information.",Normal
"We’re calling from the hospital, your surgery needs to be rescheduled.",Normal
"This is your doctor’s office, your follow-up appointment is scheduled.",Normal
Your gym is hosting a free health seminar.,Normal
"This is your cable provider, we need to update your service package.",Normal
"We’re calling from the internet company, your plan is eligible for an upgrade.",Normal
"This is your child’s school, we need to confirm your contact details.",Normal
Your electricity provider has a new outage alert system.,Normal
"This is your water company, we need to confirm your billing information.",Normal
"We’re calling from the credit union, there’s a new savings product available.",Normal
"This is your health insurance, your premium is due soon.",Normal
Your bank is offering a new loan product.,Normal
"This is your gym, we need to update your payment details.",Normal
"We’re calling from the cable company, your service needs maintenance.",Normal
"This is your university, we need to discuss your enrollment status.",Normal
Your mortgage lender is offering a new refinancing option.,Normal
"This is your utility company, your bill is overdue.",Normal
"We’re calling from the insurance company, we need to discuss your coverage.",Normal
"This is your health provider, there’s a new service available to you.",Normal
Your credit card company has a new fraud alert system.,Normal
"This is your bank, there’s a new feature available in your mobile app.",Normal
"We’re calling from the hospital, your appointment has been confirmed.",Normal
"This is your doctor’s office, we need to update your medical records.",Normal
Your gym is offering a new personal training program.,Normal
"This is your cable provider, we need to update your equipment.",Normal
"We’re calling from the internet provider, there’s a service disruption in your area.",Normal
"This is your child’s school, there’s an upcoming event you need to attend.",Normal
Your electricity provider is offering a new billing plan.,Normal
"This is your water company, there’s a new conservation program.",Normal
"We’re calling from the credit union, there’s a new credit product available.",Normal
"This is your health insurance, there’s an update to your policy.",Normal
Your bank is offering a new checking account promotion.,Normal
"This is your gym, we need to confirm your class schedule.",Normal
"We’re calling from the cable company, there’s a new bundle available.",Normal
"This is your university, there’s an update to your course schedule.",Normal
Your mortgage lender needs to verify your payment details.,Normal
"This is your utility company, there’s a new service available to you.",Normal
"We’re calling from the insurance company, there’s an update to your policy.",Normal
"This is your health provider, your test results are ready.",Normal
Your credit card company is offering a new cash back program.,Normal
"This is your bank, there’s a new security feature available.",Normal
"We’re calling from the hospital, your surgery has been scheduled.",Normal
"This is your doctor’s office, we need to discuss your treatment plan.",Normal
Your gym is offering a new wellness program.,Normal
"This is your cable provider, there’s a new on-demand service available.",Normal
"We’re calling from the internet provider, your service needs an upgrade.",Normal
"This is your child’s school, we need to update your student’s information.",Normal
Your electricity provider has a new outage reporting system.,Normal
"This is your water company, there’s a new billing plan available.",Normal
"We’re calling from the credit union, there’s a new investment product available.",Normal
"This is your health insurance, we need to update your contact details.",Normal
Your bank is offering a new mortgage product.,Normal
"This is your gym, we need to discuss your membership renewal.",Normal
"We’re calling from the cable company, your service plan needs updating.",Normal
"This is your university, we need to confirm your enrollment details.",Normal
Your mortgage lender is offering a new home equity loan.,Normal
"This is your utility company, there’s a scheduled service interruption.",Normal
"We’re calling from the insurance company, your premium is due soon.",Normal
"This is your health provider, there’s a new treatment available for you.",Normal
Your credit card company needs to verify a recent transaction.,Normal
"This is your bank, there’s a new promotion available for you.",Normal
"We’re calling from the hospital, your lab results need to be discussed.",Normal
"This is your doctor’s office, we need to update your insurance information.",Normal
Your gym is offering a new fitness challenge.,Normal
"This is your cable provider, there’s a new feature available in your service.",Normal
Your child’s school is calling about a field trip.,Normal
"This is the public library, you have overdue books.",Normal
We're calling from the community center about your volunteer shift.,Normal
"This is your music teacher, confirming your lesson time.",Normal
Your hair salon appointment is tomorrow.,Normal
"This is the car rental agency, your reservation is confirmed.",Normal
We're calling from the dental clinic about your upcoming surgery.,Normal
"This is the local theater, your tickets are ready for pickup.",Normal
Your tutoring session is scheduled for next week.,Normal
"This is the local fitness center, confirming your class booking.",Normal
We're calling from the art gallery about your membership renewal.,Normal
"This is the community college, your application status is updated.",Normal
Your cooking class starts next week.,Normal
"This is the bookstore, your order is ready for pickup.",Normal
We're calling from the hotel to confirm your stay details.,Normal
"This is the pet groomer, your appointment is tomorrow.",Normal
Your bike shop order has arrived.,Normal
"This is the flower shop, confirming your delivery details.",Normal
We're calling from the electronics store about your service request.,Normal
"This is the local community garden, your plot is ready.",Normal
Your language class enrollment is confirmed.,Normal
"This is the local repair shop, your item is fixed.",Normal
"We're calling from the animal shelter, your adoption application is approved.",Normal
"This is the music store, your instrument is ready for pickup.",Normal
Your tax preparer needs additional information.,Normal
"This is the wedding planner, confirming your consultation.",Normal
"We're calling from the spa, your appointment is tomorrow.",Normal
"This is the local coffee shop, your catering order is ready.",Normal
Your therapist needs to reschedule your session.,Normal
"This is the sports clinic, confirming your physiotherapy appointment.",Normal
"We're calling from the local market, your order is ready.",Normal
"This is the tech support team, your service request is completed.",Normal
Your landscaper needs to confirm your service schedule.,Normal
"This is the local hiking club, about your upcoming trip.",Normal
"We're calling from the conference center, confirming your event details.",Normal
"This is the dry cleaner, your clothes are ready for pickup.",Normal
Your photo studio session is scheduled.,Normal
"This is the local running club, about your membership renewal.",Normal
"We're calling from the children’s museum, your membership is due for renewal.",Normal
"This is the local cooking school, confirming your class registration.",Normal
Your personal trainer has updated your workout plan.,Normal
"This is the rental office, confirming your lease renewal.",Normal
"We're calling from the fashion boutique, your order has arrived.",Normal
"This is the home improvement store, your special order is in.",Normal
Your flower arrangement delivery is confirmed.,Normal
"This is the campsite, your reservation is confirmed.",Normal
"We're calling from the local cafe, your order is ready for pickup.",Normal
"This is the travel agency, your trip details are confirmed.",Normal
Your accountant needs additional information for your tax return.,Normal
"This is the music festival office, your tickets are ready.",Normal
"We're calling from the city hall, confirming your permit application.",Normal
"This is the local wine shop, your order is ready.",Normal
Your yoga studio is offering a new class package,Normal
"Hey, how was your day?",Normal
Did you watch the game last night?,Normal
What are your weekend plans?,Normal
How’s your family doing?,Normal
Have you tried the new restaurant downtown?,Normal
What's the latest book you've read?,Normal
Are you coming to the meeting tomorrow?,Normal
Did you finish the project yet?,Normal
How’s the weather there?,Normal
Any plans for the holidays?,Normal
Did you hear about the new movie release?,Normal
What did you think of the concert?,Normal
How’s work going?,Normal
What’s your favorite hobby?,Normal
Have you seen the latest episode of that show?,Normal
What are you cooking for dinner tonight?,Normal
How’s your new job?,Normal
Did you get the email I sent?,Normal
What time do you usually wake up?,Normal
Have you been to the new park?,Normal
Do you have any pets?,Normal
What's your favorite type of music?,Normal
How was your vacation?,Normal
What’s your favorite sport?,Normal
Are you free for lunch tomorrow?,Normal
How’s your car running?,Normal
Did you see that news article?,Normal
How do you like your coffee?,Normal
What’s your favorite food?,Normal
How’s your new house?,Normal
Have you traveled anywhere recently?,Normal
Do you play any musical instruments?,Normal
What are you reading these days?,Normal
Did you attend the seminar?,Normal
How do you spend your weekends?,Normal
What's your favorite movie?,Normal
How’s your exercise routine going?,Normal
Did you get the invitation?,Normal
How long have you lived here?,Normal
What’s your favorite season?,Normal
Are you watching the World Cup?,Normal
Did you try that recipe I sent you?,Normal
What’s your favorite holiday destination?,Normal
How’s your fitness journey?,Normal
Did you complete the assignment?,Normal
What do you think about the new policy?,Normal
How’s your study going?,Normal
Are you going to the party tonight?,Normal
What’s your favorite TV show?,Normal
How’s your gardening going?,Normal
Did you book the tickets?,Normal
What’s your favorite way to relax?,Normal
Have you been to that new coffee shop?,Normal
How do you manage your time?,Normal
What's your dream job?,Normal
Did you enjoy the play?,Normal
How’s your pet doing?,Normal
Are you attending the workshop?,Normal
What’s your favorite dessert?,Normal
How do you stay organized?,Normal
Have you been working on any new projects?,Normal
What’s your morning routine like?,Normal
Did you enjoy the dinner party?,Normal
How’s your art class?,Normal
What’s your favorite outdoor activity?,Normal
Did you finish watching that series?,Normal
How’s your health?,Normal
Are you going to the gym today?,Normal
What's your favorite kind of pizza?,Normal
Did you see the sunset yesterday?,Normal
How’s your new phone?,Normal
Are you attending the concert?,Normal
What’s your favorite childhood memory?,Normal
How do you unwind after work?,Normal
Did you bake anything recently?,Normal
How’s your volunteer work going?,Normal
Are you learning any new skills?,Normal
What’s your favorite book genre?,Normal
Did you buy anything on sale?,Normal
How’s your online course?,Normal
Are you planning any home improvements?,Normal
What’s your favorite type of cuisine?,Normal
Did you visit the museum?,Normal
How do you celebrate your birthday?,Normal
What’s your favorite board game?,Normal
Did you get a new haircut?,Normal
How’s your photography hobby?,Normal
Are you going hiking this weekend?,Normal
What’s your favorite way to spend a rainy day?,Normal
How’s your family reunion planning?,Normal
Did you join any clubs?,Normal
How’s your new computer?,Normal
Are you attending any festivals?,Normal
What’s your favorite color?,Normal
Did you go to the farmer’s market?,Normal
How’s your new furniture?,Normal
Are you going on a road trip?,Normal
What’s your favorite drink?,Normal
Did you participate in the charity run?,Normal
How’s your music collection?,Normal
Are you taking any new classes?,Normal
What’s your favorite app?,Normal
Did you go to the art exhibition?,Normal
How’s your savings plan?,Normal
Are you planning a picnic?,Normal
What’s your favorite scent?,Normal
Did you redecorate your home?,Normal
How’s your language learning going?,Normal
Are you writing a book?,Normal
What’s your favorite snack?,Normal
Did you visit the zoo?,Normal
How’s your knitting project?,Normal
Are you going to the farmers’ market?,Normal
What’s your favorite flower?,Normal
Did you go to the book fair?,Normal
How’s your diet plan?,Normal
Are you learning to cook new dishes?,Normal
What’s your favorite quote?,Normal
Did you get a new pet?,Normal
How’s your blogging going?,Normal
Are you going to the craft fair?,Normal
What’s your favorite time of day?,Normal
Did you go to the science fair?,Normal
How’s your home office setup?,Normal
Are you practicing meditation?,Normal
What’s your favorite ice cream flavor?,Normal
Did you join a gym?,Normal
How’s your calligraphy practice?,Normal
Are you attending the poetry reading?,Normal
What’s your favorite city?,Normal
Did you go to the comedy show?,Normal
How’s your painting coming along?,Normal
Are you planning a surprise party?,Normal
What’s your favorite holiday tradition?,Normal
Did you see the meteor shower?,Normal
How’s your podcast?,Normal
Are you training for a marathon?,Normal
What’s your favorite season?,Normal
Did you participate in the talent show?,Normal
How’s your scrapbook coming along?,Normal
Are you doing any home workouts?,Normal
What’s your favorite beach?,Normal
Did you go to the wine tasting?,Normal
How’s your theater group?,Normal
Are you going to the next game?,Normal
What’s your favorite childhood book?,Normal
Did you make any new friends recently?,Normal
How’s your garden growing?,Normal
Are you planning a barbecue?,Normal
What’s your favorite car?,Normal
Did you volunteer at the shelter?,Normal
How’s your study group?,Normal
Are you attending any book clubs?,Normal
What’s your favorite tree?,Normal
Did you go to the charity auction?,Normal
How’s your diet?,Normal
Are you taking any art classes?,Normal
What’s your favorite outdoor sport?,Normal
Did you buy a new bike?,Normal
How’s your job search?,Normal
Are you attending any music festivals?,Normal
What’s your favorite song?,Normal
Did you go to the flea market?,Normal
How’s your dog training going?,Normal
Are you doing any DIY projects?,Normal
What’s your favorite perfume?,Normal
Did you join a hiking group?,Normal
How’s your fitness challenge?,Normal
Are you going to the next cooking class?,Normal
What’s your favorite pastry?,Normal
Did you see the eclipse?,Normal
How’s your mentoring going?,Normal
Are you planning a family reunion?,Normal
What’s your favorite salad?,Normal
Did you go to the pottery class?,Normal
How’s your yoga practice?,Normal
Are you learning a new language?,Normal
What’s your favorite place to travel?,Normal
Did you try the new cafe?,Normal
How’s your photography class?,Normal
Are you going to the farmers’ market?,Normal
What’s your favorite animal?,Normal
Did you participate in the book exchange?,Normal
How’s your cooking going?,Normal
Are you planning any vacations?,Normal
What’s your favorite breakfast?,Normal
Did you see the northern lights?,Normal
How’s your cross-stitch project?,Normal
Are you attending any live shows?,Normal
What’s your favorite museum?,Normal
Did you try a new sport?,Normal
How’s your home renovation going?,Normal
Are you planning any get-togethers?,Normal
What’s your favorite drink?,Normal
Did you go to the book club meeting?,Normal
How’s your puzzle-solving going?,Normal
Are you learning to play a new instrument?,Normal
What’s your favorite smoothie?,Normal
Did you visit any historic sites?,Normal
How’s your fishing trip?,Normal
Are you taking any dance classes?,Normal
What’s your favorite cake?,Normal
Did you go camping recently?,Normal
How’s your fitness tracking going?,Normal
Are you practicing any new recipes?,Normal
What’s your favorite holiday memory?,Normal
Did you participate in the bake sale?,Normal
How’s your home organization going?,Normal
Are you attending any workshops?,Normal
What’s your favorite fruit?,Normal
Did you go to the charity event?,Normal
How’s your running going?,Normal
Are you joining any sports teams?,Normal
What’s your favorite place to eat?,Normal
Did you go on a nature walk?,Normal
How’s your new workout routine?,Normal
Are you planning any community events?,Normal
What’s your favorite way to relax?,Normal
Did you try the new ice cream flavor?,Normal
How’s your daily routine?,Normal
Are you attending any lectures?,Normal
What’s your favorite podcast?,Normal
Did you go to the local fair?,Normal
How’s your pet training going?,Normal
Are you practicing any new crafts?,Normal
What’s your favorite place to shop?,Normal
Did you go to the art show?,Normal
How’s your investment portfolio?,Normal
Are you attending any social events?,Normal
What’s your favorite weekend activity?,Normal
Did you try any new workouts?,Normal
How’s your knitting group?,Normal
Are you planning any outings?,Normal
What’s your favorite sport to watch?,Normal
Did you participate in any online forums?,Normal
How’s your financial planning?,Normal
Are you taking any photography trips?,Normal
What’s your favorite coffee shop?,Normal
Did you go to the flea market?,Normal
How’s your music practice?,Normal
Are you planning any cultural trips?,Normal
What’s your favorite type of flower?,Normal
Did you try any new dishes?,Normal
How’s your book collection?,Normal
Are you attending any food festivals?,Normal
What’s your favorite cocktail?,Normal
Did you see the latest exhibition?,Normal
How’s your writing going?,Normal
Are you planning any hiking trips?,Normal
What’s your favorite exercise?,Normal
Your bank account has been temporarily suspended due to suspicious activity.,Fraud
We are calling from the income tax department regarding pending dues.,Fraud
Your Aadhar card needs re-verification urgently.,Fraud
Your SIM card will be deactivated if you don't verify your details immediately.,Fraud
Congratulations! You've won a lottery prize. Just pay the processing fee to claim it.,Fraud
"There's an urgent package waiting for you at customs, but there's a fee to release it.",Fraud
Your computer has been infected with a virus. We can help fix it if you provide access.,Fraud
Your bank has approved a pre-approved loan. Just confirm your details.,Fraud
Your PAN card has expired. Renew it immediately to avoid legal action.,Fraud
Your insurance policy needs renewal. Provide payment details to continue coverage.,Fraud
We are calling from Microsoft Support to fix a security issue on your computer.,Fraud
Your electricity bill payment is overdue. Pay immediately to avoid disconnection.,Fraud
We are offering a special discount on your credit card bill settlement.,Fraud
Your credit score is low. Pay a fee to improve it instantly.,Fraud
Your bank account has been credited with excess funds. Return them to avoid legal action.,Fraud
Your phone number has been randomly selected for a loyalty reward.,Fraud
We are calling from a well-known charity. Please donate to support a cause.,Fraud
Your social media account has been compromised. Provide details for recovery.,Fraud
We are offering a work-from-home opportunity. Pay a registration fee to get started.,Fraud
Your child's scholarship application is pending. Pay a fee to expedite the process.,Fraud
You have outstanding traffic violations. Pay a fine to avoid legal consequences.,Fraud
Your investment portfolio needs urgent adjustment. Pay for advice from our expert.,Fraud
You have won a free holiday package. Confirm your personal details to claim it.,Fraud
Your bank account needs KYC verification. Provide your details to complete it.,Fraud
Your mobile network is upgrading. Validate your SIM card to continue service.,Fraud
Your ATM card has been temporarily blocked. Provide details to unblock it.,Fraud
We are calling to verify your recent online purchase. Confirm details for security.,Fraud
Your personal data has been leaked. Pay for identity protection services.,Fraud
We are calling from a reputed university. Pay a processing fee to secure admission.,Fraud
Your passport application needs additional verification. Pay a fee to expedite it.,Fraud
Your vehicle insurance is expiring soon. Provide payment details for renewal.,Fraud
We are offering a government grant. Pay an administrative fee to receive it.,Fraud
Your online banking account has been compromised. Provide details for recovery.,Fraud
We are calling from the embassy regarding visa processing fees.,Fraud
Your internet connection will be terminated due to illegal activities. Pay a fine to continue.,Fraud
You've won a lucky draw. Pay a handling fee to claim your prize.,Fraud
Your email account has been hacked. Pay to secure it immediately.,Fraud
We are calling from a reputed investment firm. Invest now for high returns.,Fraud
Your recent online transaction is under scrutiny. Confirm details to avoid legal action.,Fraud
You've qualified for a job interview. Pay for placement services to secure it.,Fraud
Your bank account needs to be upgraded. Provide details for the new account.,Fraud
We are calling from a tech support company. Your device has security issues.,Fraud
Your Aadhar card has been deactivated. Pay to reactivate it urgently.,Fraud
You've been selected for a survey. Pay a participation fee to start.,Fraud
Your pension benefits need verification. Pay an administrative fee to process it.,Fraud
We are offering a discount on your next utility bill payment. Confirm details to avail.,Fraud
Your credit card has been used for suspicious transactions. Verify your details for security.,Fraud
You've won a free health insurance policy. Pay a nominal fee to activate it.,Fraud
We are calling from a government agency regarding pending tax refunds.,Fraud
Your online banking account has been frozen. Provide details to unlock it.,Fraud
Your mobile number has been selected for a loyalty reward. Claim it by providing your details.,Fraud
We are calling from a telecom company for a special recharge offer. Confirm your number.,Fraud
Your account has been credited with bonus points. Provide details to redeem them.,Fraud
We are offering a discount on your recent online shopping. Confirm your order details.,Fraud
Your bank account has been compromised. Transfer funds to a secure account immediately.,Fraud
We are calling from a travel agency. Pay a deposit to book your dream vacation.,Fraud
Your mutual fund investment is underperforming. Pay for expert advice to improve returns.,Fraud
We are offering a home loan at a lower interest rate. Confirm your details to apply.,Fraud
Your insurance policy has lapsed. Pay a reinstatement fee to continue coverage.,Fraud
We are calling from a job consultancy. Pay a registration fee for exclusive job listings.,Fraud
Your PAN card has discrepancies. Pay to rectify them to avoid legal consequences.,Fraud
We are offering a free health check-up. Confirm your details to book an appointment.,Fraud
